correct_ans,images,type_of_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
up,images/egg_hog.jpeg,hog,0,0,0,6,up,1,1.3204638958,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
right,images/rat_cat.jpeg,cat,0,1,1,5,right,1,0.629561901093,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
right,images/ear_muffs_cat.jpeg,cat,0,2,2,4,right,1,0.563053131104,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
right,images/cat_eyes.jpeg,cat,0,3,3,3,right,1,0.49755191803,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
left,images/gorilla_tongue.jpeg,gorilla,0,4,4,2,left,1,0.445326805115,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
up,images/marshmallow_hog.jpeg,hog,0,5,5,8,up,1,0.579331159592,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
left,images/gorilla_face.jpeg,gorilla,0,6,6,0,left,1,0.545738935471,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
up,images/icecream_hog.jpeg,hog,0,7,7,7,up,1,0.629544019699,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
up,images/santa_hog.jpeg,hog,0,8,8,9,up,1,0.613996982574,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
left,images/gorilla_fat.jpeg,gorilla,0,9,9,1,left,1,0.710999965668,2015_Jul_01_1144,59.7129600761,visneuro_demo,001,001,
