key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
space,0.735131978989,,,2015_Jul_01_0853,59.7520909579,visneuro_demo,001,001,
,,left,4.11771202087,2015_Jul_01_0853,59.7520909579,visneuro_demo,001,001,
