correct_ans,images,type_of_image,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,space,7.21305203438,,,,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
up,images/marshmallow_hog.jpeg,hog,0,0,0,8,,,,,,,up,1,0.84846997261,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
left,images/gorilla_tongue.jpeg,gorilla,0,1,1,2,,,,,,,left,1,1.16817307472,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
right,images/ear_muffs_cat.jpeg,cat,0,2,2,4,,,,,,,right,1,0.665205955505,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
up,images/egg_hog.jpeg,hog,0,3,3,6,,,,,,,up,1,0.663919210434,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
up,images/icecream_hog.jpeg,hog,0,4,4,7,,,,,,,up,1,0.732125043869,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
right,images/cat_eyes.jpeg,cat,0,5,5,3,,,,,,,right,1,0.748759031296,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
left,images/gorilla_fat.jpeg,gorilla,0,6,6,1,,,,,,,left,1,0.632061958313,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
left,images/gorilla_face.jpeg,gorilla,0,7,7,0,,,,,,,left,1,0.647175073624,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
right,images/rat_cat.jpeg,cat,0,8,8,5,,,,,,,right,1,0.648605108261,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
up,images/santa_hog.jpeg,hog,0,9,9,9,,,,,,,up,1,0.614830970764,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
left,images/gorilla_fat.jpeg,gorilla,,,,,0,0,0,1,,,left,1,0.486548900604,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
up,images/santa_hog.jpeg,hog,,,,,0,1,1,9,,,up,1,0.628818035126,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
left,images/gorilla_face.jpeg,gorilla,,,,,0,2,2,0,,,left,1,0.580383062363,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
up,images/icecream_hog.jpeg,hog,,,,,0,3,3,7,,,up,1,0.629795074463,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
up,images/marshmallow_hog.jpeg,hog,,,,,0,4,4,8,,,up,1,0.697405815125,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
right,images/rat_cat.jpeg,cat,,,,,0,5,5,5,,,right,1,0.579105138779,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
up,images/egg_hog.jpeg,hog,,,,,0,6,6,6,,,up,1,0.664045095444,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
right,images/ear_muffs_cat.jpeg,cat,,,,,0,7,7,4,,,right,1,0.597347021103,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
right,images/cat_eyes.jpeg,cat,,,,,0,8,8,3,,,right,1,0.681701898575,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
left,images/gorilla_tongue.jpeg,gorilla,,,,,0,9,9,2,,,left,1,0.563482999802,2015_Jul_01_1248,59.7303925059,visneuro_demo_feedback,001,001,
