21.3522 	EXP 	New trial (rep=0, index=8): {u'correct_ans': u'left', u'images': u'images/gorilla_fat.jpeg', u'type_of_image': u'gorilla'}
21.3684 	EXP 	feedback_message: autoDraw = False
21.3684 	EXP 	image: image = u'images/gorilla_fat.jpeg'
21.3684 	EXP 	image: autoDraw = True
21.9381 	DATA 	Keypress: left
21.9543 	EXP 	image: autoDraw = False
21.9543 	EXP 	feedback_message: text = 'Correct!'
21.9543 	EXP 	feedback_message: autoDraw = True
22.9426 	EXP 	New trial (rep=0, index=9): {u'correct_ans': u'left', u'images': u'images/gorilla_face.jpeg', u'type_of_image': u'gorilla'}
22.9588 	EXP 	feedback_message: autoDraw = False
22.9588 	EXP 	image: image = u'images/gorilla_face.jpeg'
22.9588 	EXP 	image: autoDraw = True
23.4952 	DATA 	Keypress: left
23.5113 	EXP 	image: autoDraw = False
23.5113 	EXP 	feedback_message: text = 'Correct!'
23.5113 	EXP 	feedback_message: autoDraw = True
